epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.858,2.33054,3.25889,1.85228,0.00741,0.32787,0.01477,0.00556,2.6364,3.45547,2.08097,2e-05,2e-05,2e-05
2,254.154,2.30104,3.15754,1.79303,0.01259,0.55738,0.05082,0.02432,2.10857,3.29927,1.79968,5.8812e-05,5.8812e-05,5.8812e-05
3,301.491,2.02869,2.97264,1.66962,0.01704,0.7541,0.1752,0.08637,1.8591,3.12877,1.55533,9.604e-05,9.604e-05,9.604e-05
4,347.462,1.7027,2.65721,1.44094,0.01741,0.77049,0.19502,0.06974,2.21587,3.07562,1.63477,0.000131684,0.000131684,0.000131684
5,393.587,1.71738,2.45124,1.38994,0.01705,0.47541,0.17453,0.05442,2.35147,2.99447,1.80156,0.000165744,0.000165744,0.000165744
6,441.83,1.48583,2.03182,1.28028,0.39886,0.18033,0.19347,0.06809,2.23895,2.84306,1.72282,0.00019822,0.00019822,0.00019822
7,488.672,1.55342,1.80252,1.25346,0.61346,0.27869,0.33878,0.09879,2.06404,2.73046,1.55595,0.000229112,0.000229112,0.000229112
8,535.971,1.49022,1.60654,1.27502,0.72622,0.22951,0.3924,0.11782,1.99165,2.70966,1.57879,0.00025842,0.00025842,0.00025842
9,583.262,1.51952,1.71677,1.25614,0.45194,0.47541,0.40974,0.1238,1.96687,2.73292,1.59187,0.000286144,0.000286144,0.000286144
10,628.815,1.49022,1.4762,1.2666,0.60777,0.31148,0.39847,0.11808,1.94734,2.7459,1.58428,0.000312284,0.000312284,0.000312284
11,674.24,1.36323,1.39864,1.18728,0.46491,0.31148,0.34504,0.10657,1.98092,2.78523,1.60436,0.00033684,0.00033684,0.00033684
12,727.073,1.20472,1.41966,1.1461,0.36388,0.54098,0.3415,0.11303,1.93168,2.74906,1.60002,0.000359812,0.000359812,0.000359812
13,772.649,1.39374,1.32145,1.18349,0.67003,0.19672,0.34232,0.11423,1.94569,2.71101,1.58685,0.0003812,0.0003812,0.0003812
14,819.376,1.28414,1.27197,1.13814,0.64209,0.08869,0.39533,0.14188,1.91443,2.64731,1.53992,0.000401004,0.000401004,0.000401004
15,869.685,1.31525,1.23392,1.20938,0.76084,0.18033,0.3935,0.1449,1.89721,2.58828,1.49987,0.000419224,0.000419224,0.000419224
